-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::select         0.07%      88.000us         0.07%      92.000us       3.833us       0.000us         0.00%       0.000us       0.000us            24  
                                       aten::empty_like         0.02%      30.000us         0.07%      92.000us       8.364us       0.000us         0.00%       0.000us       0.000us            11  
                                            aten::stack         0.02%      21.000us         0.06%      74.000us      37.000us       0.000us         0.00%       6.000us       3.000us             2  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.05%      60.000us         0.05%      60.000us       1.935us      19.000us         0.45%      19.000us       0.613us            31  
                                       aten::contiguous         0.00%       2.000us         0.05%      57.000us      28.500us       0.000us         0.00%      45.000us      22.500us             2  
                                             aten::mean         0.04%      45.000us         0.05%      57.000us      28.500us      13.000us         0.30%      13.000us       6.500us             2  
                                        aten::unsqueeze         0.04%      50.000us         0.04%      56.000us       4.308us       0.000us         0.00%       0.000us       0.000us            13  
                                       aten::as_strided         0.04%      55.000us         0.04%      55.000us       0.266us       0.000us         0.00%       0.000us       0.000us           207  
                                             aten::ones         0.01%      16.000us         0.04%      53.000us      26.500us       0.000us         0.00%       6.000us       3.000us             2  
                                  cudaStreamSynchronize         0.03%      43.000us         0.03%      43.000us       3.909us      12.000us         0.28%      12.000us       1.091us            11  
                                            aten::fill_         0.02%      21.000us         0.03%      42.000us      14.000us       6.000us         0.14%      10.000us       3.333us             3  
                                             aten::gelu         0.02%      27.000us         0.03%      40.000us      20.000us      48.000us         1.13%      48.000us      24.000us             2  
                                          aten::permute         0.03%      35.000us         0.03%      36.000us       3.600us       0.000us         0.00%       0.000us       0.000us            10  
                                             aten::set_         0.03%      34.000us         0.03%      34.000us       4.857us       0.000us         0.00%       0.000us       0.000us             7  
                                     aten::_unsafe_view         0.02%      31.000us         0.02%      31.000us       1.148us       0.000us         0.00%       0.000us       0.000us            27  
                                            aten::zeros         0.00%       5.000us         0.02%      30.000us      30.000us       0.000us         0.00%       4.000us       4.000us             1  
                                              aten::pow         0.02%      20.000us         0.02%      30.000us      30.000us      12.000us         0.28%      12.000us      12.000us             1  
                                        aten::expand_as         0.01%       8.000us         0.02%      21.000us      10.500us       0.000us         0.00%       0.000us       0.000us             2  
                                   aten::_reshape_alias         0.02%      21.000us         0.02%      21.000us       0.875us       0.000us         0.00%       0.000us       0.000us            24  
                                            aten::zero_         0.00%       4.000us         0.02%      20.000us      20.000us       0.000us         0.00%       4.000us       4.000us             1  
                                          aten::resize_         0.02%      20.000us         0.02%      20.000us       3.333us       0.000us         0.00%       0.000us       0.000us             6  
                                           aten::narrow         0.01%       8.000us         0.02%      19.000us       9.500us       0.000us         0.00%       0.000us       0.000us             2  
                                             aten::sqrt         0.01%      12.000us         0.01%      18.000us      18.000us       2.000us         0.05%       2.000us       2.000us             1  
                                           aten::detach         0.01%       8.000us         0.01%      16.000us       2.667us       0.000us         0.00%       0.000us       0.000us             6  
                                          aten::flatten         0.01%       7.000us         0.01%      12.000us       3.000us       0.000us         0.00%       0.000us       0.000us             4  
                                                 detach         0.01%       9.000us         0.01%       9.000us       1.500us       0.000us         0.00%       0.000us       0.000us             6  
                                             aten::item         0.00%       6.000us         0.01%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.01%       7.000us         0.01%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.00%       6.000us         0.00%       6.000us       1.500us       0.000us         0.00%       0.000us       0.000us             4  
                                       aten::lift_fresh         0.00%       4.000us         0.00%       4.000us       1.333us       0.000us         0.00%       0.000us       0.000us             3  
                                     aten::resolve_conj         0.00%       4.000us         0.00%       4.000us       1.333us       0.000us         0.00%       0.000us       0.000us             3  
                                  cudaStreamIsCapturing         0.00%       2.000us         0.00%       2.000us       1.000us       0.000us         0.00%       0.000us       0.000us             2  
                              aten::_local_scalar_dense         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       1.000us         0.00%       1.000us       0.167us       3.000us         0.07%       3.000us       0.500us             6  
                                      aten::result_type         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us             1  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.05%       2.000us       1.000us             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.000us         0.30%      13.000us       2.167us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.14%       6.000us       2.000us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.05%       2.000us       2.000us             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      29.000us         0.68%      29.000us       4.833us             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.05%       2.000us       2.000us             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      25.000us         0.59%      25.000us       8.333us             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.09%       4.000us       2.000us             2  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     113.000us         2.65%     113.000us       9.417us            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.000us         0.30%      13.000us       3.250us             4  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 2, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.09%       4.000us       4.000us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.14%       6.000us       3.000us             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.19%       8.000us       4.000us             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.19%       8.000us       2.000us             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.05%       2.000us       2.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 126.004ms
Self CUDA time total: 4.266ms
